ID,NOM,PAYS,REGION,APPELLATION,PRODUCTEUR,ANNEE
71,E. Guigal,France,Northern Rhône,Côte-Rôtie La Landonne,E. Guigal,1991
72,Domaine Jacques Prieur,France,Burgundy,Musigny Grand Cru,Domaine Jacques Prieur,2012
73,Domaine Armand Rousseau,France,Burgundy,Chambertin Clos de Beze Grand Cru,Domaine Armand Rousseau,2005
74,Domaine G. Roumier,France,Burgundy,Bonnes-Mares Grand Cru,Domaine G. Roumier,2005
75,Colgin,United States,Napa Valley,IX Estate Red,Colgin,2017
76,Domaine du Comte Liger-Belair,France,Burgundy,La Romanee Grand Cru Monopole,Domaine du Comte Liger-Belair,2008
78,Domaine du Comte Liger-Belair,France,Burgundy,La Romanee Grand Cru Monopole,Domaine du Comte Liger-Belair,2007
79,Henri Jayer,France,Burgundy,Vosne-Romanée Cros Parantoux,Henri Jayer,1996
80,Clos Rougeard,France,Middle Loire,Le Bourg Saumur Champigny,Clos Rougeard,2013
81,Quintarelli Giuseppe,Italy,Northern Italy,Veneto Alzero Cabernet,Quintarelli Giuseppe,1996
82,Domaine de La Romanée-Conti,France,Burgundy,Romanée-Conti Grand Cru,Domaine de La Romanée-Conti,1965
83,Artadi,Spain,Spanish,Viña El Pison,Artadi,2018
84,Château Margaux,France,Bordeaux Left Bank,Margaux du Château Margaux,Château Margaux,1990
85,Álvaro Palacios,Spain,Spanish,L'Ermita Velles Vinyes Priorat,Álvaro Palacios,2017
86,Pétrus,France,Bordeaux Right Bank,Pomerol,Pétrus,1960
87,Domaine de La Romanée-Conti,France,Burgundy,Romanée-Saint-Vivant Grand Cru (Marey-Monge),Domaine de La Romanée-Conti,1983
88,Domaine de La Romanée-Conti,France,Burgundy,La Tâche Grand Cru,Domaine de La Romanée-Conti,1984
89,Domaine du Comte Liger-Belair,France,Burgundy,Vosne-Romanée Clos du Chateau Monopole,Domaine du Comte Liger-Belair,2003
90,Hundred Acre,United States,Napa Valley,Kayli Morgan Vineyard Cabernet Sauvignon,Hundred Acre,2003
91,Schrader,United States,Napa Valley,Cabernet Sauvignon RBS Beckstoffer To Kalon Vineyard,Schrader,2019
92,Domaine Armand Rousseau,France,Burgundy,Chambertin Grand Cru,Domaine Armand Rousseau,2016
93,Clos Rougeard,France,Middle Loire,Le Bourg Saumur Champigny,Clos Rougeard,2014
94,Château la Négly,France,Languedoc-Roussillon,La Porte du Ciel Languedoc La Clape,Château la Négly,2007
95,Castello di Ama,Italy,Tuscan,L'Apparita,Castello di Ama,2018
96,Domaine Jacques Prieur,France,Burgundy,Musigny Grand Cru,Domaine Jacques Prieur,2015
97,Domaine Armand Rousseau,France,Burgundy,Chambertin Clos de Beze Grand Cru,Domaine Armand Rousseau,2016
98,Château Angelus,France,Bordeaux Right Bank,Saint-Émilion Grand Cru (Premier Grand Cru Classé),Château Angelus,2019
99,Domaine de La Romanée-Conti,France,Burgundy,Romanée-Conti Grand Cru,Domaine de La Romanée-Conti,2018
100,Domaine de La Romanée-Conti,France,Burgundy,Richebourg Grand Cru,Domaine de La Romanée-Conti,1969
101,Jean-Michel Gerin,France,Northern Rhône,Les Grandes Places Côte-Rôtie,Jean-Michel Gerin,1999
102,Domaine de La Romanée-Conti,France,Burgundy,Richebourg Grand Cru,Domaine de La Romanée-Conti,1978
103,Henri Jayer,France,Burgundy,Vosne-Romanée Cros Parantoux,Henri Jayer,1999
104,Álvaro Palacios,Spain,Spanish,L'Ermita Velles Vinyes Priorat,Álvaro Palacios,2018
105,Jacques-Frederic Mugnier,France,Burgundy,Musigny Grand Cru,Jacques-Frederic Mugnier,2009
106,Domaine du Clos de Tart,France,Burgundy,Clos de Tart Grand Cru Monopole,Domaine du Clos de Tart,2018
107,Domaine Armand Rousseau,France,Burgundy,Ruchottes-Chambertin Grand Cru Clos des Ruchottes,Domaine Armand Rousseau,2015
